"","X1","CountryName","finalscore_child","finalrank_comm","finalrank_diversity","finalrank_edu","finalrank_emission","finalrank_empl","finalrank_eng","finalrank_env","finalrank_deficit","finalrank_gen","finalrank_GDP","finalrank_pop","finalscore_security","finalrank_tourism","finalrank_hpi","finalrank_neg","finalrank_pos","ourindex","finalindex","region","sub.region"
"47",47,"Ecuador",37,116,48,65,97,82,93.5,9.5,41,8,78,59,107,77,45,111,138,71.2941176470588,54,"Americas","South America"
"48",48,"Egypt, Arab Rep.",96,114,104.769230769231,89,102,78,118.5,168,8,184.5,135,132,57,80,104.769230769231,104.769230769231,104.769230769231,104.769230769231,157,NA,NA
"49",49,"El Salvador",34,90.5,127,79.5,62,87,40,145,52,33,63.5,138,116,85.1875,53.5,109,133,85.1875,101,"Americas","Central America"
"50",50,"Equatorial Guinea",128,162.5,106.55,57.5,161,106.55,135,39,106.55,69,122,135.5,56,106.55,106.55,106.55,106.55,106.55,159,"Africa","Middle Africa"
"51",51,"Eritrea",95,206.5,49,90,12,94.65,25.5,164,94.65,76,94.65,144.5,84,94.65,94.65,94.65,94.65,94.65,130,"Africa","Eastern Africa"
"52",52,"Estonia",14,10,77,1,187,15,11,21,43.5,70,48.5,8,59,21,67.5,35,51,43.5,4,"Europe","Northern Europe"
"53",53,"Ethiopia",64,203,28,79.1,7,120,8,113.5,88,49,92.5,100,85,79.1,98.5,62,68,79.1,82,"Africa","Eastern Africa"
"54",54,"Fiji",71,127,66,89.2083333333333,73,89.2083333333333,166.5,74.5,17,125,123,113.5,49,65,89.2083333333333,89.2083333333333,89.2083333333333,89.2083333333333,117,"Oceania","Melanesia"
"55",55,"Finland",10,1,142,41.9666666666667,181,31,9,22,41.9666666666667,9,45,6,30,7,6.5,24,106,41.9666666666667,3,"Europe","Northern Europe"
"56",56,"France",17,68,117,55.4,134,22,51.5,53.5,55.4,56,22,20,21,41,24,80,104,55.4,19,"Europe","Western Europe"
"57",57,"Gabon",100,95,11,87,72,73,11,12,14,124,38,98,90,68.3125,129,128,11,68.3125,43,"Africa","Middle Africa"
"58",58,"Gambia",113,141.5,26,113,115.318181818182,115.318181818182,139,110.5,23,159,152,196.5,95,115.318181818182,115.318181818182,115.318181818182,115.318181818182,115.318181818182,169,"Africa","Western Africa"
"59",59,"Georgia",48,109,86,12.5,79,100,38,123,43,149,101,73.5,58,24,115.5,66,2,72.2058823529412,57,"Asia","Western Asia"
"60",60,"Germany",7,37,148,51.7857142857143,171,20,77.5,37,51.7857142857143,24,4,44,5,51.7857142857143,21.5,30,99,51.7857142857143,14,"Europe","Western Europe"
"61",61,"Ghana",105,141.5,13,96.5,39,114,32.5,64,16,152,70,181,29,78.6875,77.5,50,78,78.6875,80,"Africa","Western Africa"
"62",62,"Greece",36,71,152,30.5,162,75,88,66,73.28125,74,62,24,27,40,85,126,54,73.28125,59,"Europe","Southern Europe"
"63",63,"Guatemala",106,103.5,84,88,54,93,13.5,40,51,132,74.5,125.5,115,76,58.5,99,136,85.2647058823529,102,"Americas","Central America"
"64",64,"Guinea",122,193,45,121,27,123,127,56,65,77,157,92.5,89,100.1875,134.5,125,49,100.1875,146,"Africa","Western Africa"
"65",65,"Guinea-Bissau",120,191,15,111,17,93.625,97,6,62,127,147,135.5,95,93.625,93.625,93.625,93.625,93.625,126,"Africa","Western Africa"
"66",66,"Guyana",90,135,56,85.6538461538462,96,85.6538461538462,123.5,58,39,27,80,94,112,85.6538461538462,85.6538461538462,110,93,85.6538461538462,103,"Americas","South America"
"67",67,"Haiti",115,176.5,149,115,26,115,19.5,200,94,177,115,193.5,97,115,108.5,119,20,115,167,"Americas","Caribbean"
"68",68,"Honduras",100,129,132,81,63,94,31,49,48,60,118,89.5,119,84,112.5,83,122,89.1176470588235,116,"Americas","Central America"
"69",69,"Hungary",30,45.5,130,33,132,21,71.5,70,65.71875,155,39,41,39,5,98.5,85,56,65.71875,34,"Europe","Eastern Europe"
"70",70,"Iceland",3,39,44.7142857142857,44.7142857142857,143,28,1,160,44.7142857142857,12,65,1,2,15,4,6,147,44.7142857142857,6,"Europe","Northern Europe"
"71",71,"India",123,158.5,17,98.5,80,115,58,145,58,145,84.5,202,54,97,98.5,94,61,99.3529411764706,144,"Asia","Southern Asia"
"72",72,"Indonesia",94,122,24,61.5,89,101,42,68,35,105,23,105,4,94,64,78,140,73.5,60,"Asia","South-Eastern Asia"
"73",73,"Iran",87,138.5,44,78,100.285714285714,100.285714285714,158,165,19,180,134,32,69,100.285714285714,108.5,151,40,100.285714285714,147,"Asia","Western Asia"
"74",74,"Iraq",82,158.5,69,94,118,104.285714285714,144,200,77,54,66,65,85,104.285714285714,93.5,154,104.285714285714,104.285714285714,156,"Asia","Western Asia"
"75",75,"Ireland",23,60,134,67.0333333333333,168,43,95,138,67.0333333333333,114,2,7,18,9,15.5,44,135,67.0333333333333,38,"Europe","Northern Europe"
"76",76,"Israel",26,43.5,156,75.4333333333333,170,27,108,140,75.4333333333333,67,51,78,32,31,13,130,59,75.4333333333333,70,"Asia","Western Asia"
